Muestras;Senal referencia;Senal exoesqueleto;Corriente;Velocidad
218;-0;-16.7248;0;0
219;-0;-17.0657;0;0
220;-0;-17.4025;0;0
221;-0;-17.7269;0;0
222;-0;-18.0431;0;0
223;-0;-18.3552;0;0
224;-0;-18.655;0;0
225;-0;-18.9466;0;0
226;-0;-19.2341;0;0
227;-0;-19.5072;0;0
228;-0;-19.7741;0;0
229;-0;-20.037;0;0
230;-0;-20.2875;0;0
231;-0;-20.5298;0;0
232;-0;-20.7659;0;0
233;-0;-20.9918;0;0
234;-0;-21.2094;0;0
235;-0;-21.423;0;0
236;-0;-21.6222;0;0
237;-0;-21.8152;0;0
238;-0;-22.0041;0;0
239;-0;-22.1889;0;0
240;-0;-22.3593;0;0
241;-0;-22.5195;0;0
242;-0;-22.6694;0;0
243;-0;-22.8152;0;0
244;-0;-22.9507;0;0
245;-0;-23.0801;0;0
246;-0;-23.1971;0;0
247;-0;-23.308;0;0
248;-0;-23.4107;0;0
249;-0;-23.5051;0;0
250;-0;-23.5914;0;0
251;-0;-23.6694;0;0
252;-0;-23.7372;0;0
253;-0;-23.7988;0;0
254;-0;-23.8522;0;0
255;-0;-23.8973;0;0
256;-0;-23.9343;0;0
257;-0;-23.963;0;0
258;-0;-23.9836;0;0
259;-0;-23.9959;0;0
260;-0;-24;0;0
261;-0;-23.9856;0;0
262;-0;-23.9405;0;0
263;-0;-23.8624;0;0
264;-0;-23.7495;0;0
265;-0;-23.6057;0;0
266;-0;-23.1499;0;0
267;-0;-22.8973;0;0
268;-0;-22.614;0;0
269;-0;-22.2916;0;0
270;-0;-21.9405;0;0
271;-0;-21.5585;0;0
272;-0;-21.1355;0;0
273;-0;-20.6879;0;0
274;-0;-20.2053;0;0
275;-0;-19.692;0;0
276;-0;-19.1458;0;0
277;-0;-18.5688;0;0
278;-0;-17.9569;0;0
279;-0;-17.3121;0;0
280;-0;-16.6366;0;0
281;-0;-15.9138;0;0
282;-0;-15.1725;0;0
283;-0;-14.3984;0;0
284;-0;-13.5893;0;0
285;-0;-12.7536;0;0
286;-0;-11.9179;0;0
287;-0;-11.1294;0;0
288;-0;-10.3758;0;0
289;-0;-9.65298;0;0
290;-0;-8.43943;0;0
291;-0;-7.77413;0;0
292;-0;-7.15811;0;0
293;-0;-6.59343;0;0
294;-0;-6.06365;0;0
295;-0;-5.56468;0;0
296;-0;-5.09856;0;0
297;-0;-4.6653;0;0
298;-0;-4.26489;0;0
299;-0;-3.89733;0;0
300;-0;-3.56263;0;0
301;-0;-3.25873;0;0
302;-0;-2.98973;0;0
303;-0;-2.74743;0;0
304;-0;-2.54209;0;0
305;-0;-2.37166;0;0
306;-0;-2.22793;0;0
307;-0;-2.12115;0;0
308;-0;-2.04928;0;0
309;-0;-2.00821;0;0
310;-0;-2;0;0
311;-0;-2.00821;0;0
312;-0;-2.02259;0;0
313;-0;-2.04517;0;0
314;-0;-2.07598;0;0
315;-0;-2.11294;0;0
316;-0;-2.15811;0;0
317;-0;-2.2115;0;0
318;-0;-2.27105;0;0
319;-0;-2.33881;0;0
320;-0;-2.41478;0;0
321;-0;-2.49692;0;0
322;-0;-2.58727;0;0
323;-0;-2.68583;0;0
324;-0;-2.79055;0;0
325;-0;-2.90349;0;0
326;-0;-3.02464;0;0
327;-0;-3.15195;0;0
328;-0;-3.28747;0;0
329;-0;-3.43121;0;0
330;-0;-3.58522;0;0
331;-0;-3.74333;0;0
332;-0;-3.9117;0;0
333;-0;-4.08624;0;0
334;-0;-4.26694;0;0
335;-0;-4.45791;0;0
336;-0;-4.65503;0;0
337;-0;-4.85832;0;0
338;-0;-5.06982;0;0
339;-0;-5.27926;0;0
340;-0;-5.47844;0;0
341;-0;-5.67351;0;0
342;-0;-5.85626;0;0
343;-0;-6.03285;0;0
344;-0;-6.20329;0;0
345;-0;-6.3655;0;0
346;-0;-6.51745;0;0
347;-0;-6.6653;0;0
348;-0;-6.80493;0;0
349;-0;-6.93429;0;0
350;-0;-7.05955;0;0
351;-0;-7.17454;0;0
352;-0;-7.28337;0;0
353;-0;-7.38398;0;0
354;-0;-7.47639;0;0
355;-0;-7.56058;0;0
356;-0;-7.6386;0;0
357;-0;-7.70842;0;0
358;-0;-7.77207;0;0
359;-0;-7.97741;0;0
360;-0;-7.94661;0;0
361;-0;-7.90144;0;0
362;-0;-7.84189;0;0
363;-0;-7.77002;0;0
364;-0;-7.68583;0;0
365;-0;-7.58522;0;0
366;-0;-7.47228;0;0
367;-0;-7.34702;0;0
368;-0;-7.20534;0;0
369;-0;-7.05339;0;0
370;-0;-6.88706;0;0
371;-0;-6.70431;0;0
372;-0;-6.51129;0;0
373;-0;-6.3039;0;0
