Muestras;Senal referencia;Senal exoesqueleto;Corriente;Velocidad
244;0;60.6037;0;0
245;0;60.9733;0;0
246;0;61.3265;0;0
247;0;61.6571;0;0
248;0;61.9733;0;0
249;0;62.2752;0;0
250;0;62.5585;0;0
251;0;62.8316;0;0
252;0;63.0862;0;0
253;0;63.3224;0;0
254;0;63.5441;0;0
255;0;63.7495;0;0
256;0;63.9405;0;0
257;0;64.115;0;0
258;0;64.2772;0;0
259;0;64.4189;0;0
260;0;64.5462;0;0
261;0;64.6591;0;0
262;0;64.8563;0;0
263;0;64.9158;0;0
264;0;64.9589;0;0
265;0;64.9877;0;0
266;0;65;0;0
267;0;64.9856;0;0
268;0;64.9589;0;0
269;0;64.9179;0;0
270;0;64.8624;0;0
271;0;64.7947;0;0
272;0;64.7125;0;0
273;0;64.616;0;0
274;0;64.5051;0;0
275;0;64.3819;0;0
276;0;64.2464;0;0
277;0;64.0945;0;0
278;0;63.9302;0;0
279;0;63.7515;0;0
280;0;63.5606;0;0
281;0;63.3511;0;0
282;0;63.1314;0;0
283;0;62.8973;0;0
284;0;62.6509;0;0
285;0;62.3901;0;0
286;0;62.1109;0;0
287;0;61.8214;0;0
288;0;61.5195;0;0
289;0;61.2033;0;0
290;0;60.8727;0;0
291;0;60.2361;0;0
292;0;59.848;0;0
293;0;59.4641;0;0
294;0;59.0678;0;0
295;0;58.6571;0;0
296;0;58.232;0;0
297;0;57.7947;0;0
298;0;57.3429;0;0
299;0;56.8768;0;0
300;0;56.3984;0;0
301;0;55.9055;0;0
302;0;55.3984;0;0
303;0;54.8686;0;0
304;0;54.3347;0;0
305;0;53.7864;0;0
306;0;53.2156;0;0
307;0;52.6304;0;0
308;0;52.039;0;0
309;0;51.4374;0;0
310;0;50.8193;0;0
311;0;49.3409;0;0
312;0;48.6674;0;0
313;0;47.9897;0;0
314;0;47.2998;0;0
315;0;46.5955;0;0
316;0;45.8788;0;0
317;0;45.1458;0;0
318;0;44.4004;0;0
319;0;43.6427;0;0
320;0;42.8706;0;0
321;0;42.0842;0;0
322;0;41.2834;0;0
323;0;40.4682;0;0
324;0;39.6407;0;0
325;0;38.8008;0;0
326;0;37.9446;0;0
327;0;37.076;0;0
328;0;36.193;0;0
329;0;35.2977;0;0
330;0;34.3717;0;0
331;0;33.4538;0;0
332;0;32.5462;0;0
333;0;31.6386;0;0
334;0;30.7577;0;0
335;0;29.8912;0;0
336;0;29.0246;0;0
337;0;28.1869;0;0
338;0;27.3614;0;0
339;0;26.5359;0;0
340;0;25.7392;0;0
341;0;24.9569;0;0
342;0;24.1725;0;0
343;0;23.4168;0;0
344;0;22.6756;0;0
345;0;21.9343;0;0
346;0;21.2197;0;0
347;0;20.5195;0;0
348;0;19.8214;0;0
349;0;19.1499;0;0
350;0;18.4908;0;0
351;0;17.8337;0;0
352;0;17.2012;0;0
353;0;16.5852;0;0
354;0;15.9815;0;0
355;0;15.3901;0;0
356;0;14.8131;0;0
357;0;14.2505;0;0
358;0;13.7023;0;0
359;0;4.28747;0;0
360;0;4.10472;0;0
361;0;3.9384;0;0
362;0;3.78234;0;0
363;0;3.64271;0;0
364;0;3.5154;0;0
365;0;3.40452;0;0
366;0;3.3039;0;0
367;0;3.21971;0;0
368;0;3.14784;0;0
369;0;3.09035;0;0
370;0;3.04723;0;0
371;0;3.01848;0;0
372;0;3.00205;0;0
373;0;3;0;0
